"Name","CombinedTempDiskAndCachedWriteBytesPerSecond","HyperVGenerations","MemoryGBFlattened","EncryptionAtHostSupported","PremiumIO","Tier","CpuArchitectureType","Size","MaxResourceVolumeMB","MaxDataDiskCount","CombinedTempDiskAndCachedReadBytesPerSecond","CombinedTempDiskAndCachedIOPS","RdmaEnabled","cpuToRamRatio","vCPUsPerCore","ACUs","MaxNetworkInterfaces","vCPUsAvailable","MemoryPreservingMaintenanceSupported","retailPrice","retailPriceFlattened","vCPUs","EphemeralOSDiskSupported","MemoryGB","CapacityReservationSupported","LowPriorityCapable","AcceleratedNetworkingEnabled","VMDeploymentTypes","OSVhdSizeMB"
"Standard_E4s_v4",,"V1,V2","3200","True","True","Standard","x64","E4s_v4","0","8",,,"False","8","2","195","2","4","True","0.436","4360","4","False","32","True","True","True","IaaS","1047552"
"Standard_E4_v3","48234496","V1","3200","False","False","Standard","x64","E4_v3","102400","8","97517568","6000","False","8","2","160","2","4","True","0.45","4500","4","False","32","True","True","True","IaaS,PaaS","1047552"
"Standard_E4_v4",,"V1,V2","3200","False","False","Standard","x64","E4_v4","0","8",,,"False","8","2","195","2","4","True","0.436","4360","4","False","32","True","True","True","IaaS","1047552"
"Standard_E64-16as_v4","1073741824","V1,V2","51200","True","True","Standard","x64","E64-16as_v4","884736","32","1073741824","128000","False","8","2","230","8","16","True","6.976","69760","64","True","512","True","True","True","IaaS,PaaS","1047552"
"Standard_E64-16ds_v4",,"V1,V2","50400","True","True","Standard","x64","E64-16ds_v4","2457600","32",,"615000","False","8","2","195","8","16","True","7.552","75520","64","True","504","True","True","True","IaaS","1047552"
"Standard_E64-16s_v3","1073741824","V1,V2","43200","True","True","Standard","x64","E64-16s_v3","884736","32","1073741824","128000","False","7","2","160","8","16","True","6.573","65730","64","True","432","True","True","True","IaaS","1047552"
"Standard_E64-16s_v4",,"V1,V2","50400","True","True","Standard","x64","E64-16s_v4","0","32",,,"False","8","2","195","8","16","True","6.976","69760","64","False","504","True","True","True","IaaS","1047552"
"Standard_E64-32as_v4","1073741824","V1,V2","51200","True","True","Standard","x64","E64-32as_v4","884736","32","1073741824","128000","False","8","2","230","8","32","True","6.976","69760","64","True","512","True","True","True","IaaS,PaaS","1047552"
"Standard_E64-32ds_v4",,"V1,V2","50400","True","True","Standard","x64","E64-32ds_v4","2457600","32",,"615000","False","8","2","195","8","32","True","7.552","75520","64","True","504","True","True","True","IaaS","1047552"
"Standard_E64-32s_v3","1073741824","V1,V2","43200","True","True","Standard","x64","E64-32s_v3","884736","32","1073741824","128000","False","7","2","160","8","32","True","6.573","65730","64","True","432","True","True","True","IaaS","1047552"
